row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_008_q03,code_n24_k12_cw3_008,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,6.5,2.0,10.0,3.0,0.0,3.0,3.0,3,66,701,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.3888,3.079296,11.774108159999999,15.242204159999998,2.7876130496617755
code_n24_k12_cw3_009_q00,code_n24_k12_cw3_009,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,2.1666666666666665,3.0,8.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.25089263999999994,0.41159663999999996,0.344721432538446
code_n24_k12_cw3_009_q01,code_n24_k12_cw3_009,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,2.1666666666666665,3.0,8.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7929446399999999,1.1546726399999998,0.7676388048240694
code_n24_k12_cw3_009_q02,code_n24_k12_cw3_009,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,2.1666666666666665,3.0,8.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,1.9359,2.6199,1.2864464011467291
code_n24_k12_cw3_009_q03,code_n24_k12_cw3_009,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,2.1666666666666665,3.0,8.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,4.014282239999999,5.170314239999999,1.8197497669283338
code_n24_k12_cw3_010_q00,code_n24_k12_cw3_010,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.333333333333333,1.0,9.0,3.0,0.0,3.0,3.0,2,44,470,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0648,0.256608,0.4933871999999999,0.8147951999999999,0.5959726238846236
code_n24_k12_cw3_010_q01,code_n24_k12_cw3_010,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.333333333333333,1.0,9.0,3.0,0.0,3.0,3.0,2,44,470,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1152,0.6082559999999999,1.5593471999999997,2.2828031999999996,1.1886976915505731
code_n24_k12_cw3_010_q02,code_n24_k12_cw3_010,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.333333333333333,1.0,9.0,3.0,0.0,3.0,3.0,2,44,470,12926,exact,2,0.09,0.026999999999999996,0.0081,0.18,1.1879999999999997,3.807,5.175,1.820508882514041
code_n24_k12_cw3_010_q03,code_n24_k12_cw3_010,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.333333333333333,1.0,9.0,3.0,0.0,3.0,3.0,2,44,470,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.2592,2.052864,7.894195199999999,10.206259199999998,2.4164724793414094
code_n24_k12_cw3_011_q00,code_n24_k12_cw3_011,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0648,0.256608,0.4944369599999999,0.81584496,0.5965509020851566
