code_id,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order
code_n32_k16_cw3_050,0,0,10,41416,exact,4
code_n32_k16_cw3_051,0,0,4,41416,exact,4
code_n32_k16_cw3_052,1,30,439,41416,exact,2
code_n32_k16_cw3_053,1,30,438,41416,exact,2
code_n32_k16_cw3_054,2,60,879,41416,exact,2
code_n32_k16_cw3_055,0,0,5,41416,exact,4
code_n32_k16_cw3_056,0,0,2,41416,exact,4
code_n32_k16_cw3_057,0,0,6,41416,exact,4
code_n32_k16_cw3_058,1,30,446,41416,exact,2
code_n32_k16_cw3_059,1,30,437,41416,exact,2
code_n32_k16_cw3_060,3,90,1309,41416,exact,2
code_n32_k16_cw3_061,1,30,441,41416,exact,2
code_n32_k16_cw3_062,1,30,439,41416,exact,2
code_n32_k16_cw3_063,1,30,441,41416,exact,2
code_n32_k16_cw3_064,1,30,439,41416,exact,2
code_n32_k16_cw3_065,2,60,871,41416,exact,2
code_n32_k16_cw3_066,1,30,447,41416,exact,2
code_n32_k16_cw3_067,0,0,11,41416,exact,4
code_n32_k16_cw3_068,4,118,1682,41416,exact,2
code_n32_k16_cw3_069,2,60,875,41416,exact,2
code_n32_k16_cw3_070,0,0,7,41416,exact,4
code_n32_k16_cw3_071,0,0,0,41416,exact,99
code_n32_k16_cw3_072,1,30,439,41416,exact,2
code_n32_k16_cw3_073,0,0,7,41416,exact,4
code_n32_k16_cw3_074,0,0,3,41416,exact,4
code_n32_k16_cw3_075,2,60,875,41416,exact,2
code_n32_k16_cw3_076,0,0,11,41416,exact,4
code_n32_k16_cw3_077,0,0,7,41416,exact,4
code_n32_k16_cw3_078,2,60,879,41416,exact,2
code_n32_k16_cw3_079,0,0,5,41416,exact,4
code_n32_k16_cw3_080,2,60,873,41416,exact,2
code_n32_k16_cw3_081,0,0,7,41416,exact,4
code_n32_k16_cw3_082,1,30,439,41416,exact,2
code_n32_k16_cw3_083,0,0,5,41416,exact,4
code_n32_k16_cw3_084,0,0,10,41416,exact,4
code_n32_k16_cw3_085,1,30,442,41416,exact,2
code_n32_k16_cw3_086,1,30,438,41416,exact,2
code_n32_k16_cw3_087,2,60,872,41416,exact,2
code_n32_k16_cw3_088,1,30,440,41416,exact,2
code_n32_k16_cw3_089,1,30,440,41416,exact,2
code_n32_k16_cw3_090,1,30,441,41416,exact,2
code_n32_k16_cw3_091,1,30,439,41416,exact,2
code_n32_k16_cw3_092,1,30,442,41416,exact,2
