row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_002_q02,code_n24_k12_cw3_002,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,3,0,8,0,55430,exact_all,3,0,2,22,109,12926,exact,4,0,0,14,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.0,0.05399999999999999,0.1782,0.26486999999999994,0.0,0.0,0.1134,0.4970699999999999,0.4035098645313085,0.1134,0.10741839676727034
code_n24_k12_cw3_002_q03,code_n24_k12_cw3_002,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,3,0,8,0,55430,exact_all,3,0,2,22,109,12926,exact,4,0,0,14,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.0,0.09331199999999999,0.36951551999999993,0.6590813184,0.0,0.0,0.23514623999999995,1.1219088384,0.7523160790427728,0.23514623999999995,0.21118937602514545
code_n24_k12_cw3_003_q00,code_n24_k12_cw3_003,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.333333333333333,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,2,0,8,0,55430,exact_all,2,1,7,20,138,12926,exact,2,1,22,246,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.040824,0.0209952,0.026076038399999998,0.0324,0.128304,0.25824095999999996,0.1202952384,0.11359225628340719,0.41894496,0.34991360954684847
code_n24_k12_cw3_003_q01,code_n24_k12_cw3_003,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.333333333333333,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,2,0,8,0,55430,exact_all,2,1,7,20,138,12926,exact,2,1,22,246,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.09676799999999998,0.06635519999999999,0.10988421119999998,0.0576,0.30412799999999995,0.8161689599999998,0.3306074111999999,0.2856355381282658,1.1778969599999998,0.7783597139334224
code_n24_k12_cw3_003_q02,code_n24_k12_cw3_003,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.333333333333333,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,2,0,8,0,55430,exact_all,2,1,7,20,138,12926,exact,2,1,22,246,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.18899999999999997,0.16199999999999998,0.3353399999999999,0.09,0.5939999999999999,1.9926,0.7763399999999998,0.5745550676888453,2.6765999999999996,1.301988412066634
code_n24_k12_cw3_003_q03,code_n24_k12_cw3_003,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.333333333333333,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,2,0,8,0,55430,exact_all,2,1,7,20,138,12926,exact,2,1,22,246,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.326592,0.3359232,0.8344332287999999,0.1296,1.026432,4.131855359999999,1.6265484288,0.9656705997722552,5.287887359999999,1.8386251414804518
code_n24_k12_cw3_004_q00,code_n24_k12_cw3_004,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,3.6666666666666665,3.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,0,0,11,0,55430,exact_all,3,0,1,14,76,12926,exact,4,0,0,7,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.0058319999999999995,0.014696639999999997,0.014360716799999998,0.0,0.0,0.0073483199999999985,0.03488935679999999,0.03429451936043247,0.0073483199999999985,0.007321452636295071
code_n24_k12_cw3_004_q01,code_n24_k12_cw3_004,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,3.6666666666666665,3.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,0,0,11,0,55430,exact_all,3,0,1,14,76,12926,exact,4,0,0,7,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.013823999999999998,0.04644863999999999,0.06051594239999999,0.0,0.0,0.023224319999999996,0.12078858239999998,0.11403252897949316,0.023224319999999996,0.0229587395692226
code_n24_k12_cw3_004_q02,code_n24_k12_cw3_004,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,3.6666666666666665,3.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,0,0,11,0,55430,exact_all,3,0,1,14,76,12926,exact,4,0,0,7,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.0,0.026999999999999996,0.1134,0.18467999999999996,0.0,0.0,0.0567,0.3250799999999999,0.2814728349740367,0.0567,0.05515084446484804
code_n24_k12_cw3_004_q03,code_n24_k12_cw3_004,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,3.6666666666666665,3.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,0,0,11,0,55430,exact_all,3,0,1,14,76,12926,exact,4,0,0,7,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.0,0.046655999999999996,0.23514623999999995,0.4595429375999999,0.0,0.0,0.11757311999999998,0.7413451775999998,0.55465790512056,0.11757311999999998,0.11115947713235992
