seed,graph_family,damage_family,total_energy_E,required_flow_Q,horizon_T,damage_intensity,graph_split,damage_split,has_heldout_allocation,primary_axes,group_split,n_allocations,flagged_run_fraction,no_collapse_fraction,collapse_at_first_step_fraction,far_above_q_fraction,post_policy_below_q_fraction,recovery_unused_fraction_among_recovery_allocations,reconfiguration_unused_fraction_among_reconfiguration_allocations,maintained_step_ratio_range,maintained_flow_ratio_range,minimum_margin_range,observed_score_range,group_degeneracy_flags,exclusion_recommendation
2015,grid,clustered_failure,10,4,9,0.28,calibration,calibration,True,allocation,heldout_allocation,11,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.25,3.0,0.8255555555555556,,keep
2015,grid,demand_shock,10,4,9,0.28,calibration,calibration,True,allocation,heldout_allocation,11,1.0,1.0,0.0,0.45454545454545453,0.0,1.0,0.0,0.0,0.0,4.0,0.040000000000000036,all_no_collapse|recovery_never_used|high_flag_fraction,review
2015,grid,random_attrition,10,4,9,0.28,calibration,calibration,True,allocation,heldout_allocation,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.22222222222222227,1.0,0.41666666666666663,,keep
2015,grid,repairable_wear,10,4,9,0.28,calibration,primary_heldout,True,damage|allocation,heldout_damage_allocation,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3055555555555555,1.0,0.5377777777777779,,keep
2015,grid,scalar_only_control,10,4,9,0.28,calibration,calibration,True,allocation,heldout_allocation,11,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.2222222222222222,3.0,0.8077777777777775,,keep
2015,layered_dag,bottleneck_attack,10,4,9,0.28,calibration,calibration,True,allocation,heldout_allocation,11,0.8181818181818182,0.8181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.33333333333333337,0.16666666666666663,8.0,0.5799999999999998,high_flag_fraction,review
2015,layered_dag,clustered_failure,10,4,9,0.28,calibration,calibration,True,allocation,heldout_allocation,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.08333333333333337,4.0,0.3455555555555556,high_flag_fraction,review
2015,layered_dag,demand_shock,10,4,9,0.28,calibration,calibration,True,allocation,heldout_allocation,11,1.0,1.0,0.0,0.8181818181818182,0.0,1.0,0.0,0.0,0.0,4.0,0.040000000000000036,all_no_collapse|recovery_never_used|high_flag_fraction,review
2015,layered_dag,random_attrition,10,4,9,0.28,calibration,calibration,True,allocation,heldout_allocation,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.49999999999999994,2.0,0.9644444444444444,,keep
2015,layered_dag,repairable_wear,10,4,9,0.28,calibration,primary_heldout,True,damage|allocation,heldout_damage_allocation,11,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.3055555555555556,3.0,0.8911111111111112,,keep
