code_id,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5
code_n24_k12_cw3_052,55430,exact_all,2,1,3,12,106
code_n24_k12_cw3_053,55430,exact_all,2,2,3,32,106
code_n24_k12_cw3_054,55430,exact_all,2,3,2,22,89
code_n24_k12_cw3_055,55430,exact_all,2,3,0,19,120
code_n24_k12_cw3_056,55430,exact_all,2,2,4,24,110
code_n24_k12_cw3_057,55430,exact_all,2,3,0,16,68
code_n24_k12_cw3_058,55430,exact_all,2,1,3,23,117
code_n24_k12_cw3_059,55430,exact_all,2,2,0,9,67
code_n24_k12_cw3_060,55430,exact_all,2,1,3,7,60
code_n24_k12_cw3_061,55430,exact_all,2,1,1,16,54
code_n24_k12_cw3_062,55430,exact_all,2,2,3,13,67
code_n24_k12_cw3_063,55430,exact_all,2,2,0,12,67
code_n24_k12_cw3_064,55430,exact_all,2,1,3,19,106
code_n24_k12_cw3_065,55430,exact_all,2,1,4,25,160
code_n24_k12_cw3_066,55430,exact_all,2,1,2,8,63
code_n24_k12_cw3_067,55430,exact_all,3,0,3,14,104
code_n24_k12_cw3_068,55430,exact_all,2,2,0,15,74
code_n24_k12_cw3_069,55430,exact_all,2,2,1,15,74
code_n24_k12_cw3_070,55430,exact_all,2,1,2,14,59
code_n24_k12_cw3_071,55430,exact_all,2,1,4,4,52
code_n24_k12_cw3_072,55430,exact_all,2,2,1,18,80
code_n24_k12_cw3_073,55430,exact_all,3,0,1,12,59
code_n24_k12_cw3_074,55430,exact_all,3,0,5,18,110
code_n24_k12_cw3_075,55430,exact_all,2,1,0,15,89
code_n24_k12_cw3_076,55430,exact_all,2,2,0,13,42
code_n24_k12_cw3_077,55430,exact_all,2,1,3,21,112
code_n24_k12_cw3_078,55430,exact_all,2,2,3,6,63
code_n24_k12_cw3_079,55430,exact_all,2,1,4,10,77
code_n32_k16_cw3_000,242792,exact_all,2,1,1,7,47
code_n32_k16_cw3_001,242792,exact_all,2,1,2,9,52
code_n32_k16_cw3_002,242792,exact_all,2,1,2,6,29
code_n32_k16_cw3_003,242792,exact_all,3,0,1,8,30
code_n32_k16_cw3_004,242792,exact_all,2,2,2,9,53
code_n32_k16_cw3_005,242792,exact_all,3,0,5,11,74
code_n32_k16_cw3_006,242792,exact_all,4,0,0,9,42
code_n32_k16_cw3_007,242792,exact_all,2,1,1,5,25
code_n32_k16_cw3_008,242792,exact_all,3,0,1,8,23
code_n32_k16_cw3_009,242792,exact_all,2,2,3,15,49
code_n32_k16_cw3_010,242792,exact_all,3,0,2,5,19
code_n32_k16_cw3_011,242792,exact_all,2,1,2,12,75
code_n32_k16_cw3_012,242792,exact_all,2,1,3,13,37
code_n32_k16_cw3_013,242792,exact_all,3,0,1,8,57
code_n32_k16_cw3_014,242792,exact_all,3,0,2,3,39
code_n32_k16_cw3_015,242792,exact_all,3,0,1,7,54
code_n32_k16_cw3_016,242792,exact_all,2,1,1,5,42
code_n32_k16_cw3_017,242792,exact_all,2,2,0,12,59
code_n32_k16_cw3_018,242792,exact_all,3,0,3,14,57
code_n32_k16_cw3_019,242792,exact_all,2,2,1,9,37
code_n32_k16_cw3_020,242792,exact_all,2,1,0,15,60
code_n32_k16_cw3_021,242792,exact_all,4,0,0,5,25
code_n32_k16_cw3_022,242792,exact_all,3,0,1,6,42
code_n32_k16_cw3_023,242792,exact_all,4,0,0,10,54
code_n32_k16_cw3_024,242792,exact_all,2,3,2,13,74
code_n32_k16_cw3_025,242792,exact_all,2,1,3,8,41
code_n32_k16_cw3_026,242792,exact_all,4,0,0,7,25
code_n32_k16_cw3_027,242792,exact_all,4,0,0,9,60
code_n32_k16_cw3_028,242792,exact_all,3,0,1,8,48
code_n32_k16_cw3_029,242792,exact_all,3,0,2,8,39
code_n32_k16_cw3_030,242792,exact_all,2,1,1,4,32
code_n32_k16_cw3_031,242792,exact_all,2,1,1,7,30
code_n32_k16_cw3_032,242792,exact_all,3,0,1,8,25
code_n32_k16_cw3_033,242792,exact_all,2,2,0,6,28
code_n32_k16_cw3_034,242792,exact_all,3,0,1,8,44
code_n32_k16_cw3_035,242792,exact_all,2,1,2,6,34
code_n32_k16_cw3_036,242792,exact_all,2,2,1,13,67
code_n32_k16_cw3_037,242792,exact_all,2,1,1,4,28
code_n32_k16_cw3_038,242792,exact_all,3,0,1,9,41
code_n32_k16_cw3_039,242792,exact_all,4,0,0,11,28
code_n32_k16_cw3_040,242792,exact_all,2,3,3,12,66
code_n32_k16_cw3_041,242792,exact_all,2,2,2,6,32
code_n32_k16_cw3_042,242792,exact_all,2,1,0,6,35
code_n32_k16_cw3_043,242792,exact_all,2,2,1,22,45
code_n32_k16_cw3_044,242792,exact_all,2,2,1,5,42
code_n32_k16_cw3_045,242792,exact_all,3,0,1,3,31
code_n32_k16_cw3_046,242792,exact_all,2,1,1,12,42
code_n32_k16_cw3_047,242792,exact_all,2,3,0,9,55
code_n32_k16_cw3_048,242792,exact_all,3,0,1,2,21
code_n32_k16_cw3_049,242792,exact_all,2,1,2,7,56
code_n32_k16_cw3_050,242792,exact_all,4,0,0,13,42
code_n32_k16_cw3_051,242792,exact_all,4,0,0,3,27
code_n32_k16_cw3_052,242792,exact_all,2,1,0,9,48
code_n32_k16_cw3_053,242792,exact_all,3,0,1,13,44
code_n32_k16_cw3_054,242792,exact_all,2,1,2,16,101
code_n32_k16_cw3_055,242792,exact_all,2,2,0,4,37
code_n32_k16_cw3_056,242792,exact_all,3,0,3,10,49
code_n32_k16_cw3_057,242792,exact_all,3,0,2,6,30
code_n32_k16_cw3_058,242792,exact_all,2,1,8,7,31
