row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_stop_2_norm_q2,N_stop_3_norm_q3,N_stop_4_norm_q4,N_stop_5_norm_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_stop_5_norm,log1p_H_stop_5_norm,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_048_q00,code_n24_k12_cw3_048,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,7.333333333333333,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,4,0,7,0,55430,exact_all,2,1,2,23,101,12926,exact,2,1,22,239,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.011663999999999999,0.024144479999999996,0.0190846368,0.00011739130434782608,5.7628458498023705e-06,2.272207792207792e-06,4.4900801806888763e-07,0.0324,0.128304,0.25089263999999994,0.08729311679999999,0.08369122845798051,0.00012587536600790512,0.0001258674443687738,0.41159663999999996,0.344721432538446
code_n24_k12_cw3_048_q01,code_n24_k12_cw3_048,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,7.333333333333333,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,4,0,7,0,55430,exact_all,2,1,2,23,101,12926,exact,2,1,22,239,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.027647999999999995,0.07630847999999998,0.08042250239999998,0.00020869565217391305,1.3660079051383396e-05,7.1812987012987e-06,1.892116092603049e-06,0.0576,0.30412799999999995,0.7929446399999999,0.24197898239999996,0.21670606098484904,0.0002314291460191982,0.00023140237042540684,1.1546726399999998,0.7676388048240694
code_n24_k12_cw3_048_q02,code_n24_k12_cw3_048,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,7.333333333333333,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,4,0,7,0,55430,exact_all,2,1,2,23,101,12926,exact,2,1,22,239,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.05399999999999999,0.1863,0.24542999999999995,0.0003260869565217391,2.6679841897233196e-05,1.753246753246753e-05,5.774280067758328e-06,0.09,0.5939999999999999,1.9359,0.57573,0.4547186569618203,0.00037607354601919816,0.0003760028480877162,2.6199,1.2864464011467291
code_n24_k12_cw3_048_q03,code_n24_k12_cw3_048,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,7.333333333333333,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,4,0,7,0,55430,exact_all,2,1,2,23,101,12926,exact,2,1,22,239,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.09331199999999999,0.38631167999999994,0.6107083776,0.0004695652173913043,4.6102766798418964e-05,3.635532467532467e-05,1.4368256578204404e-05,0.1296,1.026432,4.014282239999999,1.2199320576,0.7974765907311704,0.0005663915654432523,0.0005662312262808591,5.170314239999999,1.8197497669283338
code_n24_k12_cw3_049_q00,code_n24_k12_cw3_049,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.166666666666667,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,3,0,1,15,95,12926,exact,4,0,0,6,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.0058319999999999995,0.015746399999999997,0.017950895999999997,0.0,2.8814229249011852e-06,1.4818746470920382e-06,4.223342744212309e-07,0.0,0.0,0.006298559999999999,0.03952929599999999,0.03876801069898624,4.785631846414454e-06,4.785620395314903e-06,0.006298559999999999,0.006278806971330837
code_n24_k12_cw3_049_q01,code_n24_k12_cw3_049,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.166666666666667,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,3,0,1,15,95,12926,exact,4,0,0,6,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.013823999999999998,0.04976639999999999,0.07564492799999999,0.0,6.830039525691698e-06,4.6834556747600216e-06,1.7797131564088085e-06,0.0,0.0,0.019906559999999997,0.139235328,0.13035727243069087,1.3293208356860529e-05,1.3293120002949323e-05,0.019906559999999997,0.019711015256787718
code_n24_k12_cw3_049_q02,code_n24_k12_cw3_049,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.166666666666667,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,3,0,1,15,95,12926,exact,4,0,0,6,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.0,0.026999999999999996,0.1215,0.23084999999999994,0.0,1.3339920948616598e-05,1.1434217955957084e-05,5.4312535290796155e-06,0.0,0.0,0.0486,0.37934999999999997,0.32161237371418894,3.02053924336533e-05,3.0204936259973176e-05,0.0486,0.04745594115629535
code_n24_k12_cw3_049_q03,code_n24_k12_cw3_049,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.166666666666667,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,3,0,1,15,95,12926,exact,4,0,0,6,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.0,0.046655999999999996,0.25194239999999996,0.5744286719999999,0.0,2.3051383399209482e-05,2.370999435347261e-05,1.3514696781479389e-05,0.0,0.0,0.10077695999999998,0.8730270719999998,0.6275558771749012,6.027607453416148e-05,6.0274258004576e-05,0.10077695999999998,0.09601625774534364
code_n24_k12_cw3_050_q00,code_n24_k12_cw3_050,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,2.0,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,0,0,11,0,55430,exact_all,2,2,0,9,74,12926,exact,2,2,44,464,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0648,0.0,0.009447839999999999,0.013982803199999998,0.00023478260869565215,0.0,8.89124788255223e-07,3.289761716544325e-07,0.0648,0.256608,0.4870886399999999,0.08823064319999999,0.08455311420271405,0.00023600070965556182,0.00023597286586876567,0.80849664,0.5924959145150079
code_n24_k12_cw3_050_q01,code_n24_k12_cw3_050,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,2.0,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,0,0,11,0,55430,exact_all,2,2,0,9,74,12926,exact,2,2,44,464,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.1152,0.0,0.029859839999999995,0.05892341759999999,0.0004173913043478261,0.0,2.8100734048560133e-06,1.3863028797289664e-06,0.1152,0.6082559999999999,1.5394406399999998,0.2039832576,0.18563544114210434,0.00042158768063241107,0.00042149883751541257,2.2628966399999997,1.1826153407380393
