row_id,graph_id,q_id,split,q,n,m,edge_density,mean_degree,degree_variance,degree_s,degree_t,shortest_st_path_length,bridge_count,st_bridge_count,algebraic_connectivity,laplacian_spectral_radius,effective_resistance_st,betweenness_mean,betweenness_max,betweenness_std,kappa,N_kappa,N_kappa_plus_1,N_kappa_plus_2,cutset_subset_tests,cutset_count_status,q_power_kappa,q_power_kappa_plus_1,q_power_kappa_plus_2,N_kappa_q_kappa,N_kappa_plus_1_q,N_kappa_plus_2_q,H_cut_2,log1p_H_cut_2
g_n20_m40_k3_003_q00,g_n20_m40_k3_003,q00,validation,0.2,20,40,0.21052631578947367,4.0,0.5,3,4,3,0,0,0.36416514545982165,8.332533890959725,1.1355461712776733,0.08421052631578947,0.2450626397302298,0.07159227557304969,3,2,1,5,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0016000000000000003,0.0016000000000000003,0.019200000000000005,0.019018005835761853
g_n20_m40_k3_003_q01,g_n20_m40_k3_003,q01,validation,0.3,20,40,0.21052631578947367,4.0,0.5,3,4,3,0,0,0.36416514545982165,8.332533890959725,1.1355461712776733,0.08421052631578947,0.2450626397302298,0.07159227557304969,3,2,1,5,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0081,0.012149999999999998,0.07424999999999998,0.07162274367296742
g_n20_m40_k3_003_q02,g_n20_m40_k3_003,q02,validation,0.4,20,40,0.21052631578947367,4.0,0.5,3,4,3,0,0,0.36416514545982165,8.332533890959725,1.1355461712776733,0.08421052631578947,0.2450626397302298,0.07159227557304969,3,2,1,5,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.025600000000000005,0.05120000000000001,0.20480000000000004,0.1863135780634921
g_n20_m40_k3_003_q03,g_n20_m40_k3_003,q03,validation,0.5,20,40,0.21052631578947367,4.0,0.5,3,4,3,0,0,0.36416514545982165,8.332533890959725,1.1355461712776733,0.08421052631578947,0.2450626397302298,0.07159227557304969,3,2,1,5,759278,exact,0.125,0.0625,0.03125,0.25,0.0625,0.15625,0.46875,0.38441169891033206
g_n20_m40_k3_004_q00,g_n20_m40_k3_004,q00,train,0.2,20,40,0.21052631578947367,4.0,1.5,5,3,3,0,0,0.39815141328157294,8.331303951459775,0.9350339596220999,0.07719298245614034,0.22609533091989226,0.07274397980996075,3,2,1,4,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0016000000000000003,0.0012800000000000003,0.018880000000000004,0.018703984793771763
g_n20_m40_k3_004_q01,g_n20_m40_k3_004,q01,train,0.3,20,40,0.21052631578947367,4.0,1.5,5,3,3,0,0,0.39815141328157294,8.331303951459775,0.9350339596220999,0.07719298245614034,0.22609533091989226,0.07274397980996075,3,2,1,4,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0081,0.009719999999999998,0.07181999999999998,0.06935813810231159
g_n20_m40_k3_004_q02,g_n20_m40_k3_004,q02,train,0.4,20,40,0.21052631578947367,4.0,1.5,5,3,3,0,0,0.39815141328157294,8.331303951459775,0.9350339596220999,0.07719298245614034,0.22609533091989226,0.07274397980996075,3,2,1,4,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.025600000000000005,0.04096000000000001,0.19456000000000007,0.17777791674408203
g_n20_m40_k3_004_q03,g_n20_m40_k3_004,q03,train,0.5,20,40,0.21052631578947367,4.0,1.5,5,3,3,0,0,0.39815141328157294,8.331303951459775,0.9350339596220999,0.07719298245614034,0.22609533091989226,0.07274397980996075,3,2,1,4,759278,exact,0.125,0.0625,0.03125,0.25,0.0625,0.125,0.4375,0.3629054936893685
g_n20_m40_k3_005_q00,g_n20_m40_k3_005,q00,test,0.2,20,40,0.21052631578947367,4.0,0.4,3,4,3,0,0,0.40090359330832104,7.273093603159857,1.0591415394094463,0.0786549707602339,0.21620718462823726,0.0630291858652332,3,2,2,9,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0032000000000000006,0.0028800000000000006,0.022080000000000006,0.021839766604455874
g_n20_m40_k3_005_q01,g_n20_m40_k3_005,q01,test,0.3,20,40,0.21052631578947367,4.0,0.4,3,4,3,0,0,0.40090359330832104,7.273093603159857,1.0591415394094463,0.0786549707602339,0.21620718462823726,0.0630291858652332,3,2,2,9,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0162,0.021869999999999994,0.09206999999999999,0.08807497783233428
g_n20_m40_k3_005_q02,g_n20_m40_k3_005,q02,test,0.4,20,40,0.21052631578947367,4.0,0.4,3,4,3,0,0,0.40090359330832104,7.273093603159857,1.0591415394094463,0.0786549707602339,0.21620718462823726,0.0630291858652332,3,2,2,9,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.05120000000000001,0.09216000000000002,0.27136000000000005,0.2400871936440971
g_n20_m40_k3_005_q03,g_n20_m40_k3_005,q03,test,0.5,20,40,0.21052631578947367,4.0,0.4,3,4,3,0,0,0.40090359330832104,7.273093603159857,1.0591415394094463,0.0786549707602339,0.21620718462823726,0.0630291858652332,3,2,2,9,759278,exact,0.125,0.0625,0.03125,0.25,0.125,0.28125,0.65625,0.5045560107523953
g_n20_m40_k3_006_q00,g_n20_m40_k3_006,q00,test,0.2,20,40,0.21052631578947367,4.0,0.9,4,4,4,0,0,0.40656959713330465,8.153092818279127,1.1147845093186532,0.07807017543859647,0.23851526965562053,0.07135210228919237,3,1,2,7,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.008000000000000002,0.0032000000000000006,0.0022400000000000007,0.013440000000000002,0.013350484368137926
g_n20_m40_k3_006_q01,g_n20_m40_k3_006,q01,test,0.3,20,40,0.21052631578947367,4.0,0.9,4,4,4,0,0,0.40656959713330465,8.153092818279127,1.1147845093186532,0.07807017543859647,0.23851526965562053,0.07135210228919237,3,1,2,7,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.026999999999999996,0.0162,0.017009999999999997,0.06020999999999999,0.058467001709692955
g_n20_m40_k3_006_q02,g_n20_m40_k3_006,q02,test,0.4,20,40,0.21052631578947367,4.0,0.9,4,4,4,0,0,0.40656959713330465,8.153092818279127,1.1147845093186532,0.07807017543859647,0.23851526965562053,0.07135210228919237,3,1,2,7,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.06400000000000002,0.05120000000000001,0.07168000000000002,0.18688000000000005,0.17132801531908898
g_n20_m40_k3_006_q03,g_n20_m40_k3_006,q03,test,0.5,20,40,0.21052631578947367,4.0,0.9,4,4,4,0,0,0.40656959713330465,8.153092818279127,1.1147845093186532,0.07807017543859647,0.23851526965562053,0.07135210228919237,3,1,2,7,759278,exact,0.125,0.0625,0.03125,0.125,0.125,0.21875,0.46875,0.38441169891033206
g_n20_m40_k3_007_q00,g_n20_m40_k3_007,q00,train,0.2,20,40,0.21052631578947367,4.0,0.6,3,3,4,0,0,0.4060782276054499,7.4821896066568385,1.329738486777151,0.07690058479532162,0.19509421702404156,0.06649656317606127,3,3,2,4,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.024000000000000007,0.0032000000000000006,0.0012800000000000003,0.02848000000000001,0.02808198412695603
g_n20_m40_k3_007_q01,g_n20_m40_k3_007,q01,train,0.3,20,40,0.21052631578947367,4.0,0.6,3,3,4,0,0,0.4060782276054499,7.4821896066568385,1.329738486777151,0.07690058479532162,0.19509421702404156,0.06649656317606127,3,3,2,4,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.08099999999999999,0.0162,0.009719999999999998,0.10691999999999997,0.10158138372574564
g_n20_m40_k3_007_q02,g_n20_m40_k3_007,q02,train,0.4,20,40,0.21052631578947367,4.0,0.6,3,3,4,0,0,0.4060782276054499,7.4821896066568385,1.329738486777151,0.07690058479532162,0.19509421702404156,0.06649656317606127,3,3,2,4,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.19200000000000006,0.05120000000000001,0.04096000000000001,0.2841600000000001,0.2501048080964149
g_n20_m40_k3_007_q03,g_n20_m40_k3_007,q03,train,0.5,20,40,0.21052631578947367,4.0,0.6,3,3,4,0,0,0.4060782276054499,7.4821896066568385,1.329738486777151,0.07690058479532162,0.19509421702404156,0.06649656317606127,3,3,2,4,759278,exact,0.125,0.0625,0.03125,0.375,0.125,0.125,0.625,0.4855078157817008
g_n20_m40_k3_008_q00,g_n20_m40_k3_008,q00,train,0.2,20,40,0.21052631578947367,4.0,0.8,3,4,4,0,0,0.40432282545691334,7.761404456129859,1.213748791230148,0.08011695906432749,0.2199758655899007,0.06829872973968898,3,2,2,5,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0032000000000000006,0.0016000000000000003,0.020800000000000006,0.02058663360838839
g_n20_m40_k3_008_q01,g_n20_m40_k3_008,q01,train,0.3,20,40,0.21052631578947367,4.0,0.8,3,4,4,0,0,0.40432282545691334,7.761404456129859,1.213748791230148,0.08011695906432749,0.2199758655899007,0.06829872973968898,3,2,2,5,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0162,0.012149999999999998,0.08234999999999998,0.07913460316372738
g_n20_m40_k3_008_q02,g_n20_m40_k3_008,q02,train,0.4,20,40,0.21052631578947367,4.0,0.8,3,4,4,0,0,0.40432282545691334,7.761404456129859,1.213748791230148,0.08011695906432749,0.2199758655899007,0.06829872973968898,3,2,2,5,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.05120000000000001,0.05120000000000001,0.23040000000000005,0.20733931976924252
g_n20_m40_k3_008_q03,g_n20_m40_k3_008,q03,train,0.5,20,40,0.21052631578947367,4.0,0.8,3,4,4,0,0,0.40432282545691334,7.761404456129859,1.213748791230148,0.08011695906432749,0.2199758655899007,0.06829872973968898,3,2,2,5,759278,exact,0.125,0.0625,0.03125,0.25,0.125,0.15625,0.53125,0.4260843953109001
g_n20_m40_k3_009_q00,g_n20_m40_k3_009,q00,validation,0.2,20,40,0.21052631578947367,4.0,0.2,3,4,3,0,0,0.35410078692719316,6.961432951633631,1.0245158253982787,0.08187134502923976,0.20511695906432753,0.06428101169906067,3,2,1,10,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0016000000000000003,0.0032000000000000006,0.020800000000000006,0.02058663360838839
g_n20_m40_k3_009_q01,g_n20_m40_k3_009,q01,validation,0.3,20,40,0.21052631578947367,4.0,0.2,3,4,3,0,0,0.35410078692719316,6.961432951633631,1.0245158253982787,0.08187134502923976,0.20511695906432753,0.06428101169906067,3,2,1,10,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0081,0.024299999999999995,0.08639999999999998,0.0828694778222946
g_n20_m40_k3_009_q02,g_n20_m40_k3_009,q02,validation,0.4,20,40,0.21052631578947367,4.0,0.2,3,4,3,0,0,0.35410078692719316,6.961432951633631,1.0245158253982787,0.08187134502923976,0.20511695906432753,0.06428101169906067,3,2,1,10,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.025600000000000005,0.10240000000000002,0.25600000000000006,0.227932068046007
g_n20_m40_k3_009_q03,g_n20_m40_k3_009,q03,validation,0.5,20,40,0.21052631578947367,4.0,0.2,3,4,3,0,0,0.35410078692719316,6.961432951633631,1.0245158253982787,0.08187134502923976,0.20511695906432753,0.06428101169906067,3,2,1,10,759278,exact,0.125,0.0625,0.03125,0.25,0.0625,0.3125,0.625,0.4855078157817008
g_n20_m40_k3_010_q00,g_n20_m40_k3_010,q00,validation,0.2,20,40,0.21052631578947367,4.0,0.8,3,5,2,0,0,0.39557463947275506,8.117253936032219,0.979068456952517,0.07923976608187133,0.26620254339552585,0.07310860107099315,3,2,1,8,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0016000000000000003,0.0025600000000000006,0.020160000000000004,0.019959477739603788
g_n20_m40_k3_010_q01,g_n20_m40_k3_010,q01,validation,0.3,20,40,0.21052631578947367,4.0,0.8,3,5,2,0,0,0.39557463947275506,8.117253936032219,0.979068456952517,0.07923976608187133,0.26620254339552585,0.07310860107099315,3,2,1,8,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0081,0.019439999999999995,0.08153999999999999,0.07838595139507706
g_n20_m40_k3_010_q02,g_n20_m40_k3_010,q02,validation,0.4,20,40,0.21052631578947367,4.0,0.8,3,5,2,0,0,0.39557463947275506,8.117253936032219,0.979068456952517,0.07923976608187133,0.26620254339552585,0.07310860107099315,3,2,1,8,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.025600000000000005,0.08192000000000002,0.23552000000000006,0.21149193409373454
g_n20_m40_k3_010_q03,g_n20_m40_k3_010,q03,validation,0.5,20,40,0.21052631578947367,4.0,0.8,3,5,2,0,0,0.39557463947275506,8.117253936032219,0.979068456952517,0.07923976608187133,0.26620254339552585,0.07310860107099315,3,2,1,8,759278,exact,0.125,0.0625,0.03125,0.25,0.0625,0.25,0.5625,0.44628710262841953
g_n20_m40_k3_011_q00,g_n20_m40_k3_011,q00,validation,0.2,20,40,0.21052631578947367,4.0,0.8,3,4,2,0,0,0.36794027066231133,7.688243627065573,0.9108654361853223,0.0789473684210526,0.23914879792072774,0.072941513271583,3,2,1,3,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0016000000000000003,0.0009600000000000002,0.018560000000000004,0.018389865111590957
g_n20_m40_k3_011_q01,g_n20_m40_k3_011,q01,validation,0.3,20,40,0.21052631578947367,4.0,0.8,3,4,2,0,0,0.36794027066231133,7.688243627065573,0.9108654361853223,0.0789473684210526,0.23914879792072774,0.072941513271583,3,2,1,3,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0081,0.007289999999999998,0.06938999999999998,0.06708839245080768
g_n20_m40_k3_011_q02,g_n20_m40_k3_011,q02,validation,0.4,20,40,0.21052631578947367,4.0,0.8,3,4,2,0,0,0.36794027066231133,7.688243627065573,0.9108654361853223,0.0789473684210526,0.23914879792072774,0.072941513271583,3,2,1,3,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.025600000000000005,0.030720000000000008,0.18432000000000004,0.16916877021565413
g_n20_m40_k3_011_q03,g_n20_m40_k3_011,q03,validation,0.5,20,40,0.21052631578947367,4.0,0.8,3,4,2,0,0,0.36794027066231133,7.688243627065573,0.9108654361853223,0.0789473684210526,0.23914879792072774,0.072941513271583,3,2,1,3,759278,exact,0.125,0.0625,0.03125,0.25,0.0625,0.09375,0.40625,0.3409265869705932
g_n20_m40_k3_012_q00,g_n20_m40_k3_012,q00,train,0.2,20,40,0.21052631578947367,4.0,0.6,5,4,3,0,0,0.3975979241950514,8.416563139511736,0.8568314303646409,0.07953216374269005,0.28507165349270613,0.07213206441554586,3,1,1,4,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.008000000000000002,0.0016000000000000003,0.0012800000000000003,0.010880000000000003,0.010821238631583322
g_n20_m40_k3_012_q01,g_n20_m40_k3_012,q01,train,0.3,20,40,0.21052631578947367,4.0,0.6,5,4,3,0,0,0.3975979241950514,8.416563139511736,0.8568314303646409,0.07953216374269005,0.28507165349270613,0.07213206441554586,3,1,1,4,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.026999999999999996,0.0081,0.009719999999999998,0.04481999999999999,0.04384462177641762
g_n20_m40_k3_012_q02,g_n20_m40_k3_012,q02,train,0.4,20,40,0.21052631578947367,4.0,0.6,5,4,3,0,0,0.3975979241950514,8.416563139511736,0.8568314303646409,0.07953216374269005,0.28507165349270613,0.07213206441554586,3,1,1,4,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.06400000000000002,0.025600000000000005,0.04096000000000001,0.13056,0.12271308518864335
g_n20_m40_k3_012_q03,g_n20_m40_k3_012,q03,train,0.5,20,40,0.21052631578947367,4.0,0.6,5,4,3,0,0,0.3975979241950514,8.416563139511736,0.8568314303646409,0.07953216374269005,0.28507165349270613,0.07213206441554586,3,1,1,4,759278,exact,0.125,0.0625,0.03125,0.125,0.0625,0.125,0.3125,0.27193371548364176
g_n20_m40_k3_013_q00,g_n20_m40_k3_013,q00,validation,0.2,20,40,0.21052631578947367,4.0,0.7,5,3,4,0,0,0.39977492988666025,8.058909988031466,1.0222629303523831,0.07953216374269005,0.18592314118629913,0.06806954039902552,3,2,1,6,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0016000000000000003,0.0019200000000000005,0.019520000000000006,0.019331928299491968
g_n20_m40_k3_013_q01,g_n20_m40_k3_013,q01,validation,0.3,20,40,0.21052631578947367,4.0,0.7,5,3,4,0,0,0.39977492988666025,8.058909988031466,1.0222629303523831,0.07953216374269005,0.18592314118629913,0.06806954039902552,3,2,1,6,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0081,0.014579999999999996,0.07667999999999998,0.07388223239070439
g_n20_m40_k3_013_q02,g_n20_m40_k3_013,q02,validation,0.4,20,40,0.21052631578947367,4.0,0.7,5,3,4,0,0,0.39977492988666025,8.058909988031466,1.0222629303523831,0.07953216374269005,0.18592314118629913,0.06806954039902552,3,2,1,6,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.025600000000000005,0.061440000000000015,0.21504000000000006,0.1947769980613005
g_n20_m40_k3_013_q03,g_n20_m40_k3_013,q03,validation,0.5,20,40,0.21052631578947367,4.0,0.7,5,3,4,0,0,0.39977492988666025,8.058909988031466,1.0222629303523831,0.07953216374269005,0.18592314118629913,0.06806954039902552,3,2,1,6,759278,exact,0.125,0.0625,0.03125,0.25,0.0625,0.1875,0.5,0.4054651081081644
g_n20_m40_k3_014_q00,g_n20_m40_k3_014,q00,train,0.2,20,40,0.21052631578947367,4.0,0.7,5,5,3,0,0,0.4073171504179174,7.961572018884193,0.848143743332055,0.07777777777777777,0.1942138271085639,0.06617047871478561,3,1,0,6,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.008000000000000002,0.0,0.0019200000000000005,0.009920000000000002,0.00987111979526299
g_n20_m40_k3_014_q01,g_n20_m40_k3_014,q01,train,0.3,20,40,0.21052631578947367,4.0,0.7,5,5,3,0,0,0.4073171504179174,7.961572018884193,0.848143743332055,0.07777777777777777,0.1942138271085639,0.06617047871478561,3,1,0,6,759278,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.026999999999999996,0.0,0.014579999999999996,0.04157999999999999,0.04073879105894313
g_n20_m40_k3_014_q02,g_n20_m40_k3_014,q02,train,0.4,20,40,0.21052631578947367,4.0,0.7,5,5,3,0,0,0.4073171504179174,7.961572018884193,0.848143743332055,0.07777777777777777,0.1942138271085639,0.06617047871478561,3,1,0,6,759278,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.06400000000000002,0.0,0.061440000000000015,0.12544000000000002,0.11817407030348061
g_n20_m40_k3_014_q03,g_n20_m40_k3_014,q03,train,0.5,20,40,0.21052631578947367,4.0,0.7,5,5,3,0,0,0.4073171504179174,7.961572018884193,0.848143743332055,0.07777777777777777,0.1942138271085639,0.06617047871478561,3,1,0,6,759278,exact,0.125,0.0625,0.03125,0.125,0.0,0.1875,0.3125,0.27193371548364176
g_n20_m40_k3_015_q00,g_n20_m40_k3_015,q00,train,0.2,20,40,0.21052631578947367,4.0,0.7,4,4,3,0,0,0.395144984153863,7.890481363796317,1.0387745670847066,0.07748538011695907,0.2587533648937158,0.07193736709747205,3,1,2,7,759278,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.008000000000000002,0.0032000000000000006,0.0022400000000000007,0.013440000000000002,0.013350484368137926
