graph_id,state_id,split,n,e0,et,kappa0,kappat,tau_stratum,prefix_len,prefix_seed,tau0,tau,log_tau0,log_tau,L_t,deleted_edge_count,deleted_edge_fraction,edge_density,mean_degree,degree_variance,min_degree,bridge_count,avg_shortest_path_length,diameter,algebraic_connectivity,laplacian_spectral_radius,adjacency_spectral_gap,kirchhoff_index,betweenness_mean,betweenness_max,betweenness_std
g_n32_e64_k2_low_28,g_n32_e64_k2_low_28_p4,train,32,64,60,2,2,low,4,2280294599,112597944819937,10843302913695,32.35484457942438,30.01456876236473,2.340275817059652,4,0.0625,0.12096774193548387,3.75,2.1875,2,0,3.3850806451612905,7,0.11711088833662912,9.459654527330647,0.24369673667737946,648.907824029397,0.079502688172043,0.4112741082095919,0.10580523265102414
g_n32_e64_k2_low_28,g_n32_e64_k2_low_28_p7,train,32,64,57,2,1,low,7,2780296099,112597944819937,651528092686,32.35484457942438,27.20258635259088,5.152258226833499,7,0.109375,0.11491935483870967,3.5625,2.30859375,1,3,3.3931451612903225,7,0.12488833682295171,8.54834948030231,0.49362452115297195,699.6659540225072,0.07977150537634409,0.39206278786923954,0.09963787369402581
g_n32_e64_k2_low_29,g_n32_e64_k2_low_29_p0,test,32,64,64,2,2,low,0,1058913140,116068428951592,116068428951592,32.385201037864604,32.385201037864604,0.0,0,0.0,0.12903225806451613,4.0,2.375,2,0,3.056451612903226,6,0.15213612707879073,8.810709233098287,0.25318569080980424,553.7242353344308,0.06854838709677419,0.31887523468168627,0.08613565781379869
g_n32_e64_k2_low_29,g_n32_e64_k2_low_29_p4,test,32,64,60,2,1,low,4,1558914640,116068428951592,6096667211396,32.385201037864604,29.438763379011924,2.9464376588526804,4,0.0625,0.12096774193548387,3.75,2.25,1,1,3.3326612903225805,8,0.12421895432000005,8.711472497823573,0.4366993694182115,656.0703407065879,0.07775537634408602,0.38061370529112465,0.0915255452920186
g_n32_e64_k2_low_29,g_n32_e64_k2_low_29_p7,test,32,64,57,2,1,low,7,2058916140,116068428951592,584064945684,32.385201037864604,27.09327802195446,5.291923015910143,7,0.109375,0.11491935483870967,3.5625,2.62109375,1,2,3.2379032258064515,7,0.13762075633612758,8.730800400383163,0.45806817798589616,676.1646132023859,0.07459677419354838,0.29387096774193544,0.08987763493587296
g_n32_e64_k2_mid_30,g_n32_e64_k2_mid_30_p0,train,32,64,64,2,2,mid,0,337533181,169948785132172,169948785132172,32.76651824366132,32.76651824366132,0.0,0,0.0,0.12903225806451613,4.0,2.1875,2,0,3.0826612903225805,7,0.1551772821853745,9.693574142556031,0.5111394828742544,542.3650087887024,0.06942204301075268,0.29810843278585214,0.08038415507721201
g_n32_e64_k2_mid_30,g_n32_e64_k2_mid_30_p4,train,32,64,60,2,1,mid,4,837534681,169948785132172,11052491015268,32.76651824366132,30.033676949732477,2.732841293928839,4,0.0625,0.12096774193548387,3.75,2.1875,1,1,3.221774193548387,7,0.14379820941018012,9.589611842346294,0.6625766137607583,601.2099411736123,0.07405913978494623,0.34142738981448656,0.08446510512481842
g_n32_e64_k2_mid_30,g_n32_e64_k2_mid_30_p7,train,32,64,57,2,1,mid,7,1337536181,169948785132172,997065364624,32.76651824366132,27.628082166067124,5.138436077594193,7,0.109375,0.11491935483870967,3.5625,2.49609375,1,1,3.256048387096774,7,0.1385647126078754,9.42315414728819,0.6301328261353172,650.2640359758434,0.07520161290322581,0.308504864311316,0.08551606324114328
g_n32_e64_k2_mid_31,g_n32_e64_k2_mid_31_p0,train,32,64,64,2,2,mid,0,3911120518,169961403848574,169961403848574,32.766592491017335,32.766592491017335,0.0,0,0.0,0.12903225806451613,4.0,1.875,2,0,3.1129032258064515,7,0.15069092649684188,8.429951607676278,0.2385028503504163,548.8902619649479,0.07043010752688171,0.36437275985663076,0.08694782309888545
g_n32_e64_k2_mid_31,g_n32_e64_k2_mid_31_p4,train,32,64,60,2,1,mid,4,116154722,169961403848574,10183471509808,32.766592491017335,29.95178708167057,2.8148054093467643,4,0.0625,0.12096774193548387,3.75,1.875,1,1,3.274193548387097,8,0.1411648248359853,8.292621579479224,0.414444466254829,618.6443914996821,0.07580645161290323,0.35334357398873534,0.08841051661412963
g_n32_e64_k2_mid_31,g_n32_e64_k2_mid_31_p7,train,32,64,57,2,1,mid,7,616156222,169961403848574,1817367511752,32.766592491017335,28.2284101478247,4.538182343192634,7,0.109375,0.11491935483870967,3.5625,1.62109375,1,1,3.314516129032258,7,0.14196321807178164,7.827516185082005,0.44581585009520097,643.2631591072683,0.0771505376344086,0.3669534050179211,0.08943665937179847
g_n32_e64_k2_mid_32,g_n32_e64_k2_mid_32_p0,validation,32,64,64,2,2,mid,0,3189740559,170394809368752,170394809368752,32.76913926840882,32.76913926840882,0.0,0,0.0,0.12903225806451613,4.0,2.4375,2,0,2.9153225806451615,6,0.1721288205847587,9.651004474262594,0.35444232066276626,519.8497965681049,0.06384408602150538,0.3975061318609705,0.09586987892014753
g_n32_e64_k2_mid_32,g_n32_e64_k2_mid_32_p4,validation,32,64,60,2,1,mid,4,3689742059,170394809368752,8838678066560,32.76913926840882,29.810158441413982,2.958980826994839,4,0.0625,0.12096774193548387,3.75,2.3125,1,2,3.0826612903225805,7,0.15943116753731384,9.1491796094829,0.46303268014553867,592.1150837549415,0.0694220430107527,0.4035172772269547,0.09643103991069617
g_n32_e64_k2_mid_32,g_n32_e64_k2_mid_32_p7,validation,32,64,57,2,1,mid,7,4189743559,170394809368752,1763993125536,32.76913926840882,28.198601176417117,4.570538091991704,7,0.109375,0.11491935483870967,3.5625,1.93359375,1,1,3.185483870967742,7,0.15560778903493103,8.746710631300267,0.3600015603249216,623.9843412071949,0.0728494623655914,0.3317617690113446,0.09050673934340912
g_n32_e64_k2_mid_33,g_n32_e64_k2_mid_33_p0,test,32,64,64,2,2,mid,0,2468360600,170620151615346,170620151615346,32.77046086602285,32.77046086602285,0.0,0,0.0,0.12903225806451613,4.0,2.1875,2,0,3.129032258064516,7,0.1403509378364949,9.3918148835041,0.1863928148585341,557.0967616880353,0.07096774193548389,0.364731182795699,0.09141984779729423
g_n32_e64_k2_mid_33,g_n32_e64_k2_mid_33_p4,test,32,64,60,2,1,mid,4,2968362100,170620151615346,12471479622180,32.77046086602285,30.15446552312691,2.6159953428959426,4,0.0625,0.12096774193548387,3.75,2.0,1,1,3.2056451612903225,7,0.13762342460182986,8.552579054815267,0.30158135231938843,610.856051973899,0.0735215053763441,0.3966410650281617,0.09343153309641661
