primary_key,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
path_b05,train,186,"('32', '91', '2', '0', '2', '5', 2.5)",29,9,44.249928114418246,46.150784035285135,1.9008559208668885,0.05555555555555555,0.029513888888888888,0.026041666666666664
path_b05,train,188,"('32', '91', '2', '0', '2', '6', 2.5)",7,2,44.02644301616834,45.40974097676969,1.3832979606013467,0.09375,0.046875,0.046875
path_b05,train,190,"('32', '91', '2', '0', '3', '5', 2.5)",11,3,45.049151162120474,46.182248525568006,1.1330973634475328,0.036458333333333336,0.036458333333333336,0.0
path_b05,train,192,"('32', '91', '2', '0', '3', '6', 2.5)",7,2,45.4727007242932,46.07712740624894,0.6044266819557436,0.0234375,0.03125,-0.0078125
path_b05,train,195,"('32', '91', '3', '0', '3', '5', 2.5)",31,10,45.49735899503944,46.81100278863092,1.3136437935914813,0.025,0.015625,0.009375000000000001
path_b05,train,197,"('32', '96', '2', '0', '2', '5', 2.5)",18,6,45.96539126659035,47.362493957155074,1.3971026905647221,0.078125,0.044270833333333336,0.033854166666666664
path_b05,train,198,"('32', '96', '2', '0', '2', '6', 2.5)",7,2,46.48785707758304,47.31279033124509,0.8249332536620528,0.0625,0.0703125,-0.0078125
path_b05,train,199,"('32', '96', '2', '0', '3', '5', 2.5)",16,5,47.29096390512444,48.004970546548925,0.7140066414244828,0.034375,0.028125,0.006250000000000002
path_b05,train,201,"('32', '96', '2', '0', '3', '6', 2.5)",4,1,47.33409753609919,47.88949363355273,0.5553960974535386,0.046875,0.0,0.046875
path_b05,train,205,"('32', '96', '3', '0', '3', '5', 2.5)",43,14,46.84948344741321,48.62658319819844,1.7770997507852258,0.017857142857142856,0.010044642857142858,0.007812499999999998
path_b05,train,206,"('32', '96', '3', '0', '4', '5', 2.5)",10,3,47.60140104941209,48.75700161423656,1.1556005648244678,0.005208333333333333,0.0,0.005208333333333333
path_b05,train,208,"('40', '108', '1', '1', '1', '6', 3.0)",6,2,53.72221275887756,55.30835901978643,1.586146260908869,0.203125,0.1796875,0.0234375
path_b05,train,221,"('40', '108', '2', '0', '2', '5', 3.0)",6,2,54.169813694659936,55.95703641855335,1.7872227238934144,0.140625,0.078125,0.0625
path_b05,train,223,"('40', '108', '2', '0', '2', '6', 3.0)",42,14,53.84540218152873,56.44256278936366,2.5971606078349296,0.09040178571428571,0.044642857142857144,0.04575892857142857
path_b05,train,224,"('40', '108', '2', '0', '2', '7', 3.0)",5,1,53.656844917738425,55.331795929685526,1.6749510119471012,0.265625,0.109375,0.15625
path_b05,train,227,"('40', '108', '3', '0', '3', '5', 3.0)",4,1,54.8110811274655,56.53351023047726,1.7224291030117627,0.015625,0.0,0.015625
path_b05,train,229,"('40', '108', '3', '0', '3', '6', 3.0)",5,1,55.17214813778606,56.771503657821206,1.5993555200351466,0.03125,0.015625,0.015625
path_b05,train,239,"('40', '114', '2', '0', '2', '5', 2.5)",6,2,57.9901651947515,58.68113082676567,0.6909656320141693,0.0390625,0.0625,-0.0234375
path_b05,train,240,"('40', '114', '2', '0', '2', '5', 3.0)",6,2,56.11565380512433,58.094335316995185,1.9786815118708532,0.109375,0.0703125,0.0390625
path_b05,train,241,"('40', '114', '2', '0', '2', '6', 2.5)",6,2,57.57437972005362,58.73551318673398,1.1611334666803614,0.0234375,0.0390625,-0.015625
path_b05,train,242,"('40', '114', '2', '0', '2', '6', 3.0)",26,8,56.20014194839377,58.54785883699342,2.347716888599649,0.091796875,0.064453125,0.02734375
path_b05,train,243,"('40', '114', '2', '0', '2', '7', 3.0)",6,2,56.28452001707063,57.676630546590175,1.3921105295195417,0.0625,0.046875,0.015625
path_b05,train,245,"('40', '114', '2', '0', '3', '5', 3.0)",6,2,57.826257350424,58.68502044562487,0.8587630952008709,0.0546875,0.015625,0.0390625
path_b05,train,246,"('40', '114', '2', '0', '3', '6', 3.0)",9,3,57.01503011809559,58.632820792935895,1.6177906748403075,0.020833333333333332,0.036458333333333336,-0.015625000000000003
path_b05,train,247,"('40', '114', '3', '0', '3', '5', 2.5)",13,4,57.626535310700454,58.90080084921274,1.2742655385122887,0.03125,0.01171875,0.01953125
path_b05,train,248,"('40', '114', '3', '0', '3', '5', 3.0)",5,1,57.7241488633985,59.15932439701069,1.4351755336121954,0.03125,0.015625,0.015625
path_b05,train,249,"('40', '114', '3', '0', '3', '6', 2.5)",4,1,57.69680634807525,58.72659879290473,1.0297924448294822,0.0625,0.046875,0.015625
path_b05,train,250,"('40', '114', '3', '0', '3', '6', 3.0)",6,2,57.875382361656,58.77563356981586,0.9002512081598582,0.0234375,0.0234375,0.0
