seed,graph_family,damage_family,total_energy_E,required_flow_Q,horizon_T,damage_intensity,graph_split,damage_split,has_heldout_allocation,primary_axes,group_split,n_allocations,flagged_run_fraction,no_collapse_fraction,collapse_at_first_step_fraction,far_above_q_fraction,post_policy_below_q_fraction,recovery_unused_fraction_among_recovery_allocations,reconfiguration_unused_fraction_among_reconfiguration_allocations,maintained_step_ratio_range,maintained_flow_ratio_range,minimum_margin_range,observed_score_range,group_degeneracy_flags,exclusion_recommendation
2013,random_geometric,demand_shock,10,4,8,0.32,primary_heldout,calibration,True,graph|allocation,heldout_graph_allocation,11,1.0,1.0,0.0,0.5454545454545454,0.0,1.0,0.0,0.0,0.0,4.0,0.040000000000000036,all_no_collapse|recovery_never_used|high_flag_fraction,review
2013,random_geometric,random_attrition,10,4,8,0.32,primary_heldout,calibration,True,graph|allocation,heldout_graph_allocation,11,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.625,0.4375,4.0,0.9775,,keep
2013,random_geometric,repairable_wear,10,4,8,0.32,primary_heldout,primary_heldout,True,graph|damage|allocation,heldout_graph_damage_allocation,11,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.625,0.375,4.0,1.04,,keep
2013,random_geometric,scalar_only_control,10,4,8,0.32,primary_heldout,calibration,True,graph|allocation,heldout_graph_allocation,11,1.0,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,4.0,0.040000000000000036,all_no_collapse|high_flag_fraction,review
2013,series_parallel,bottleneck_attack,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.75,0.5625,6.0,1.3725,,keep
2013,series_parallel,clustered_failure,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.625,0.3125,3.0,0.9575,,keep
2013,series_parallel,demand_shock,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,1.0,1.0,0.0,0.18181818181818182,0.0,1.0,0.0,0.0,0.0,5.0,0.050000000000000266,all_no_collapse|recovery_never_used|high_flag_fraction,review
2013,series_parallel,random_attrition,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.375,0.3125,0.0,0.6875,,keep
2013,series_parallel,repairable_wear,10,4,8,0.32,calibration,primary_heldout,True,damage|allocation,heldout_damage_allocation,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.46875,1.0,0.85375,,keep
2013,series_parallel,scalar_only_control,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.375,0.1875,3.0,0.5924999999999998,,keep
