graph_family,attack_type,turn,mean_giant_fraction,mean_efficiency_fraction,mean_cumulative_loss,mean_repair_cost_to_target,threshold_crossed_rate,irreversible_rate
er,targeted_degree_attack,31,0.9986979166666666,0.9456773040440439,0.05587590855102986,0.0,0.0,0.0
er,targeted_degree_attack,32,0.9986979166666666,0.9437419516043936,0.05792666185269837,0.0,0.0,0.0
er,targeted_degree_attack,33,0.9986979166666666,0.9416641731247402,0.06013060004826856,0.0,0.0,0.0
er,targeted_degree_attack,34,0.9986979166666666,0.9395995899783257,0.06232710240303452,0.0,0.0,0.0
er,targeted_degree_attack,35,0.9986979166666666,0.9374711583638606,0.06459820523507855,0.0,0.0,0.0
er,targeted_degree_attack,36,0.9986979166666666,0.9356422269104773,0.06655015280764626,0.0,0.0,0.0
er,targeted_degree_attack,37,0.9986979166666666,0.9337381093409,0.06858615328397787,0.0,0.0,0.0
er,targeted_degree_attack,38,0.9986979166666666,0.9319462692015037,0.07050786878006145,0.0,0.0,0.0
er,targeted_degree_attack,39,0.9986979166666666,0.9295715886319891,0.07306060863775996,0.0,0.0,0.0
er,targeted_degree_attack,40,0.9986979166666666,0.9271569852526728,0.07566445629151695,0.0,0.0,0.0
er,targeted_degree_attack,41,0.9986979166666666,0.9250849270029704,0.07790139637166535,0.0,0.0,0.0
er,targeted_degree_attack,42,0.9973958333333334,0.9219095561102787,0.08134409944563707,0.0,0.0,0.0
er,targeted_degree_attack,43,0.9973958333333334,0.9197217746946987,0.08372528066455874,0.0,0.0,0.0
er,targeted_degree_attack,44,0.9973958333333334,0.9174872616528038,0.08615918105077154,0.0,0.0,0.0
er,targeted_degree_attack,45,0.9973958333333334,0.9152625385129377,0.08858730638849928,0.0,0.0,0.0
er,targeted_degree_attack,46,0.99609375,0.9116456650875661,0.09259663341108997,0.0,0.0,0.0
er,targeted_degree_attack,47,0.99609375,0.9092936031411645,0.09517873695552004,0.0,0.0,0.0
er,targeted_degree_attack,48,0.99609375,0.9073245272222646,0.09734493460132244,0.0,0.0,0.0
er,targeted_degree_attack,49,0.9947916666666666,0.9037956723875248,0.10124457503089584,0.0,0.0,0.0
er,targeted_degree_attack,50,0.9947916666666666,0.9016916952625516,0.10357454862940191,0.0,0.0,0.0
er,targeted_degree_attack,51,0.9947916666666666,0.899779815989083,0.10569826620051936,0.0,0.0,0.0
er,targeted_degree_attack,52,0.9947916666666666,0.8975986340573856,0.10812529595538256,0.0,0.0,0.0
er,targeted_degree_attack,53,0.9947916666666666,0.895429790889986,0.11054329811277779,0.0,0.0,0.0
er,targeted_degree_attack,54,0.9947916666666666,0.893516459218879,0.11268077982119616,0.0,0.0,0.0
er,targeted_degree_attack,55,0.9947916666666666,0.89109260708253,0.11539870613613523,0.0,0.0,0.0
er,targeted_degree_attack,56,0.9947916666666666,0.8889757294307922,0.11777740300908512,0.0,0.0,0.0
er,targeted_degree_attack,57,0.9921875,0.8838395541960701,0.12359058338777107,0.0,0.0,0.0
er,targeted_degree_attack,58,0.9921875,0.8814584448112287,0.1262912052098966,0.0,0.0,0.0
er,targeted_degree_attack,59,0.9921875,0.879146021704562,0.1289210644423414,0.0,0.0,0.0
er,targeted_degree_attack,60,0.9921875,0.8771941359609688,0.13114041303130858,0.0,0.0,0.0
er,targeted_degree_attack,61,0.9921875,0.8744360304281358,0.13428103807415873,0.0,0.0,0.0
er,targeted_degree_attack,62,0.9908854166666666,0.8705383252464624,0.13873456708255746,0.0,0.0,0.0
er,targeted_degree_attack,63,0.9908854166666666,0.8682551306567583,0.1413573591316236,0.0,0.0,0.0
er,targeted_degree_attack,64,0.9908854166666666,0.8660090006968185,0.14394718799944284,0.0,0.0,0.0
er,targeted_degree_attack,65,0.9908854166666666,0.8639251358130052,0.1463558047396891,0.0,0.0,0.0
er,targeted_degree_attack,66,0.9908854166666666,0.8613831787731131,0.1493019956745273,0.0,0.0,0.0
er,targeted_degree_attack,67,0.9895833333333334,0.8575069342005067,0.15378876175412606,0.0,0.0,0.0
er,targeted_degree_attack,68,0.98828125,0.8536888557913684,0.15823828648183277,0.0,0.0,0.0
er,targeted_degree_attack,69,0.98828125,0.8511821108116931,0.16118101657594017,0.0,0.0,0.0
er,targeted_degree_attack,70,0.98828125,0.8489657867268706,0.16378798323241653,0.0,0.0,0.0
er,targeted_degree_attack,71,0.9869791666666666,0.8449489757938111,0.16853059301184667,0.0,0.0,0.0
er,targeted_degree_attack,72,0.9869791666666666,0.8425254077578601,0.1714033820052723,0.0,0.0,0.0
er,targeted_degree_attack,73,0.9869791666666666,0.8405206075390207,0.17378709192929434,0.0,0.0,0.0
er,targeted_degree_attack,74,0.9869791666666666,0.8380883255179782,0.17668399058730802,0.0,0.0,0.0
