graph_family,seed,attack_type,L_metric,repair_cost_method,turn,removed_edges,giant_fraction,efficiency_fraction,L_cumulative_loss,M_budget,target_giant_size,repair_cost_to_target,threshold_crossed,irreversible
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,12,12,1.0,0.9812226699819939,0.018955862521049423,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,13,13,1.0,0.980022292720569,0.020179959902193907,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,14,14,1.0,0.9779645031295545,0.022281904974566207,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,15,15,1.0,0.9765069021692525,0.02377346041669947,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,16,16,1.0,0.9747920775100737,0.02553108456194423,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,17,17,1.0,0.9731629940838538,0.027203693781502336,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,18,18,1.0,0.9704192746291678,0.03002705898858217,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,19,19,1.0,0.9695618622995785,0.030910997877570297,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,20,20,1.0,0.9671611077767284,0.0333901916390015,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,21,21,1.0,0.9650175769527553,0.03560896335021863,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,22,22,1.0,0.9629597873617408,0.037743625728015276,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,23,23,1.0,0.9609877390036855,0.03979362867420837,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,24,24,1.0,0.959272914344507,0.04157966236920085,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,25,25,1.0,0.9572151247534924,0.04372712203483876,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,26,26,1.0,0.9550715939295193,0.04596897384586152,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,27,27,1.0,0.9524993569407516,0.04866584710932876,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,28,28,1.0,0.9494126725542302,0.05191172499294277,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,29,29,1.0,0.9476121066620926,0.05381003064774397,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,30,30,1.0,0.9458972820029139,0.055621297217913514,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,31,31,1.0,0.9434107862471051,0.05825347482113844,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,32,32,1.0,0.9421246677527213,0.05961766947588643,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,33,33,1.0,0.9407528080253786,0.06107486463355684,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,34,34,1.0,0.938523535968447,0.0634473449871867,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,35,35,1.0,0.9358655577467198,0.0662834477070063,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,36,36,1.0,0.9340478436079908,0.0682276176455299,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,37,37,1.0,0.9320757952499356,0.0703411422278076,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,38,38,1.0,0.9300180056589215,0.07255133209868424,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,39,39,1.0,0.9251993483666306,0.07774605294132379,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,40,40,1.0,0.9200377261425042,0.08334060310316681,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,41,41,1.0,0.9172768584412268,0.08634593469140965,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,42,42,1.0,0.9154762925490896,0.0883108108346666,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,43,43,1.0,0.9131955757523824,0.0908052091122334,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,44,44,1.0,0.9117379747920806,0.09240263853077131,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,45,45,1.0,0.9102803738317788,0.0940026238134133,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,46,46,0.984375,0.8911429306353467,0.11525044839977466,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,47,47,0.984375,0.8895995884420855,0.11698381811847387,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,48,48,0.984375,0.8883134699477014,0.11843059158431009,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,49,49,0.984375,0.8850038583554874,0.12216327425999647,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,50,50,0.984375,0.8814027265712129,0.12624063312406253,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,51,51,0.984375,0.8788647860756286,0.12912422011972863,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,52,52,0.984375,0.8778358912801215,0.13029561479888016,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,53,53,0.984375,0.8758638429220658,0.1325446305805733,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,54,54,0.984375,0.8726742690559939,0.13619290954226634,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,55,55,0.984375,0.8692446197376369,0.1401306976587494,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,56,56,0.984375,0.8664666037897679,0.14333171206977535,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,57,57,0.984375,0.8638772185544084,0.1463246284310219,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,58,58,0.984375,0.8621623938952299,0.14831163407216058,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,59,59,0.984375,0.8597444911257883,0.15112003722063194,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,60,60,0.984375,0.8579782217268347,0.15317656241907526,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,61,61,0.984375,0.8567778444654096,0.15457661865000957,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,62,62,0.984375,0.8543256452027845,0.1574428403089712,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,63,63,0.984375,0.8519077424333428,0.1602770415448463,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,64,64,0.984375,0.8482037211695175,0.16463443481437148,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,65,65,0.984375,0.8467461202092159,0.16635436927383102,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,66,66,0.984375,0.8450312955500373,0.16838161615689431,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,67,67,0.984375,0.8433507673840425,0.1703723133549578,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,68,68,0.984375,0.8421503901226176,0.1717966700918509,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,69,69,0.984375,0.8391837434622387,0.17532559355784263,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,70,70,0.984375,0.8371602503644081,0.1777397687964168,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,71,71,0.96875,0.8196347423476035,0.19889647412145442,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,72,72,0.96875,0.8160336105633286,0.2032997354504469,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,73,73,0.96875,0.8135471148075198,0.20635143782615725,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,74,74,0.96875,0.812003772614259,0.20825029275457838,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,75,75,0.96875,0.8090885706936556,0.21184688621836173,4,48,0,False,False
