row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_009_q01,code_n24_k12_cw3_009,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.833333333333333,3.0,11.0,3.0,0.0,3.0,3.0,5,108,1112,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.288,1.4929919999999997,3.6893491199999993,5.470341119999999,1.867228830461468
code_n24_k12_cw3_009_q02,code_n24_k12_cw3_009,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.833333333333333,3.0,11.0,3.0,0.0,3.0,3.0,5,108,1112,12926,exact,2,0.09,0.026999999999999996,0.0081,0.44999999999999996,2.9159999999999995,9.0072,12.373199999999999,2.5932527042861926
code_n24_k12_cw3_009_q03,code_n24_k12_cw3_009,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.833333333333333,3.0,11.0,3.0,0.0,3.0,3.0,5,108,1112,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.6479999999999999,5.038848,18.67732992,24.364177919999996,3.233337860479639
code_n24_k12_cw3_010_q00,code_n24_k12_cw3_010,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,3.5,3.0,9.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.25089263999999994,0.41159663999999996,0.344721432538446
code_n24_k12_cw3_010_q01,code_n24_k12_cw3_010,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,3.5,3.0,9.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7929446399999999,1.1546726399999998,0.7676388048240694
code_n24_k12_cw3_010_q02,code_n24_k12_cw3_010,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,3.5,3.0,9.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,1.9359,2.6199,1.2864464011467291
code_n24_k12_cw3_010_q03,code_n24_k12_cw3_010,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,3.5,3.0,9.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,4.014282239999999,5.170314239999999,1.8197497669283338
code_n24_k12_cw3_011_q00,code_n24_k12_cw3_011,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.5,3.0,11.0,3.0,0.0,3.0,3.0,0,0,8,12926,exact,4,0.0324,0.0058319999999999995,0.0010497599999999998,0.0,0.0,0.008398079999999999,0.008398079999999999,0.008363012323468396
code_n24_k12_cw3_011_q01,code_n24_k12_cw3_011,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.5,3.0,11.0,3.0,0.0,3.0,3.0,0,0,8,12926,exact,4,0.0576,0.013823999999999998,0.0033177599999999995,0.0,0.0,0.026542079999999996,0.026542079999999996,0.02619595030443698
code_n24_k12_cw3_011_q02,code_n24_k12_cw3_011,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.5,3.0,11.0,3.0,0.0,3.0,3.0,0,0,8,12926,exact,4,0.09,0.026999999999999996,0.0081,0.0,0.0,0.0648,0.0648,0.06278698809876482
