row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_007_q01,code_n24_k12_cw3_007,q01,train,0.24,128,36,0.28125,12,0.09375,1.46875,0.09375
code_n24_k12_cw3_007_q02,code_n24_k12_cw3_007,q02,train,0.3,128,46,0.359375,13,0.1015625,1.984375,0.109375
code_n24_k12_cw3_007_q03,code_n24_k12_cw3_007,q03,train,0.36,128,83,0.6484375,40,0.3125,4.5,0.5
code_n24_k12_cw3_008_q00,code_n24_k12_cw3_008,q00,train,0.18,128,9,0.0703125,4,0.03125,0.28125,0.03125
code_n24_k12_cw3_008_q01,code_n24_k12_cw3_008,q01,train,0.24,128,20,0.15625,8,0.0625,1.03125,0.078125
code_n24_k12_cw3_008_q02,code_n24_k12_cw3_008,q02,train,0.3,128,54,0.421875,33,0.2578125,2.2578125,0.2890625
code_n24_k12_cw3_008_q03,code_n24_k12_cw3_008,q03,train,0.36,128,71,0.5546875,42,0.328125,3.5234375,0.375
code_n24_k12_cw3_009_q00,code_n24_k12_cw3_009,q00,train,0.18,128,20,0.15625,18,0.140625,0.4296875,0.15625
code_n24_k12_cw3_009_q01,code_n24_k12_cw3_009,q01,train,0.24,128,30,0.234375,26,0.203125,0.75,0.234375
code_n24_k12_cw3_009_q02,code_n24_k12_cw3_009,q02,train,0.3,128,53,0.4140625,38,0.296875,1.8125,0.3359375
code_n24_k12_cw3_009_q03,code_n24_k12_cw3_009,q03,train,0.36,128,82,0.640625,60,0.46875,4.0546875,0.6484375
code_n24_k12_cw3_010_q00,code_n24_k12_cw3_010,q00,train,0.18,128,6,0.046875,4,0.03125,0.2890625,0.03125
code_n24_k12_cw3_010_q01,code_n24_k12_cw3_010,q01,train,0.24,128,16,0.125,4,0.03125,0.734375,0.0390625
code_n24_k12_cw3_010_q02,code_n24_k12_cw3_010,q02,train,0.3,128,38,0.296875,17,0.1328125,1.7734375,0.1484375
code_n24_k12_cw3_010_q03,code_n24_k12_cw3_010,q03,train,0.36,128,76,0.59375,35,0.2734375,4.7890625,0.375
code_n24_k12_cw3_011_q00,code_n24_k12_cw3_011,q00,test,0.18,128,9,0.0703125,4,0.03125,0.2265625,0.03125
code_n24_k12_cw3_011_q01,code_n24_k12_cw3_011,q01,test,0.24,128,19,0.1484375,9,0.0703125,0.6015625,0.0703125
code_n24_k12_cw3_011_q02,code_n24_k12_cw3_011,q02,test,0.3,128,36,0.28125,18,0.140625,1.625,0.140625
code_n24_k12_cw3_011_q03,code_n24_k12_cw3_011,q03,test,0.36,128,59,0.4609375,27,0.2109375,2.96875,0.2421875
code_n24_k12_cw3_012_q00,code_n24_k12_cw3_012,q00,train,0.18,128,6,0.046875,5,0.0390625,0.140625,0.0390625
code_n24_k12_cw3_012_q01,code_n24_k12_cw3_012,q01,train,0.24,128,26,0.203125,14,0.109375,0.9765625,0.109375
code_n24_k12_cw3_012_q02,code_n24_k12_cw3_012,q02,train,0.3,128,38,0.296875,16,0.125,1.9453125,0.1484375
code_n24_k12_cw3_012_q03,code_n24_k12_cw3_012,q03,train,0.36,128,62,0.484375,39,0.3046875,3.5,0.375
code_n24_k12_cw3_013_q00,code_n24_k12_cw3_013,q00,train,0.18,128,17,0.1328125,15,0.1171875,0.390625,0.125
code_n24_k12_cw3_013_q01,code_n24_k12_cw3_013,q01,train,0.24,128,39,0.3046875,36,0.28125,1.0625,0.3046875
code_n24_k12_cw3_013_q02,code_n24_k12_cw3_013,q02,train,0.3,128,48,0.375,43,0.3359375,1.8515625,0.3984375
code_n24_k12_cw3_013_q03,code_n24_k12_cw3_013,q03,train,0.36,128,89,0.6953125,73,0.5703125,4.5703125,0.8203125
code_n24_k12_cw3_014_q00,code_n24_k12_cw3_014,q00,train,0.18,128,7,0.0546875,4,0.03125,0.2109375,0.03125
code_n24_k12_cw3_014_q01,code_n24_k12_cw3_014,q01,train,0.24,128,24,0.1875,12,0.09375,0.8203125,0.1015625
code_n24_k12_cw3_014_q02,code_n24_k12_cw3_014,q02,train,0.3,128,38,0.296875,13,0.1015625,1.5390625,0.109375
code_n24_k12_cw3_014_q03,code_n24_k12_cw3_014,q03,train,0.36,128,62,0.484375,32,0.25,3.7734375,0.3984375
code_n24_k12_cw3_015_q00,code_n24_k12_cw3_015,q00,validation,0.18,128,15,0.1171875,10,0.078125,0.40625,0.078125
code_n24_k12_cw3_015_q01,code_n24_k12_cw3_015,q01,validation,0.24,128,31,0.2421875,18,0.140625,1.234375,0.1484375
code_n24_k12_cw3_015_q02,code_n24_k12_cw3_015,q02,validation,0.3,128,51,0.3984375,29,0.2265625,2.1875,0.28125
code_n24_k12_cw3_015_q03,code_n24_k12_cw3_015,q03,validation,0.36,128,78,0.609375,52,0.40625,4.25,0.5546875
code_n24_k12_cw3_016_q00,code_n24_k12_cw3_016,q00,train,0.18,128,10,0.078125,5,0.0390625,0.28125,0.0390625
code_n24_k12_cw3_016_q01,code_n24_k12_cw3_016,q01,train,0.24,128,19,0.1484375,9,0.0703125,0.6171875,0.078125
code_n24_k12_cw3_016_q02,code_n24_k12_cw3_016,q02,train,0.3,128,49,0.3828125,19,0.1484375,2.1171875,0.171875
code_n24_k12_cw3_016_q03,code_n24_k12_cw3_016,q03,train,0.36,128,74,0.578125,37,0.2890625,4.0,0.34375
code_n24_k12_cw3_017_q00,code_n24_k12_cw3_017,q00,validation,0.18,128,6,0.046875,3,0.0234375,0.15625,0.0234375
code_n24_k12_cw3_017_q01,code_n24_k12_cw3_017,q01,validation,0.24,128,20,0.15625,8,0.0625,0.703125,0.0703125
code_n24_k12_cw3_017_q02,code_n24_k12_cw3_017,q02,validation,0.3,128,49,0.3828125,25,0.1953125,1.9921875,0.25
code_n24_k12_cw3_017_q03,code_n24_k12_cw3_017,q03,validation,0.36,128,63,0.4921875,45,0.3515625,4.078125,0.5390625
code_n24_k12_cw3_018_q00,code_n24_k12_cw3_018,q00,train,0.18,128,4,0.03125,3,0.0234375,0.1484375,0.0234375
code_n24_k12_cw3_018_q01,code_n24_k12_cw3_018,q01,train,0.24,128,13,0.1015625,8,0.0625,0.6953125,0.0625
code_n24_k12_cw3_018_q02,code_n24_k12_cw3_018,q02,train,0.3,128,28,0.21875,14,0.109375,1.3359375,0.109375
code_n24_k12_cw3_018_q03,code_n24_k12_cw3_018,q03,train,0.36,128,63,0.4921875,32,0.25,3.796875,0.3046875
code_n24_k12_cw3_019_q00,code_n24_k12_cw3_019,q00,train,0.18,128,5,0.0390625,0,0.0,0.1328125,0.0
code_n24_k12_cw3_019_q01,code_n24_k12_cw3_019,q01,train,0.24,128,16,0.125,7,0.0546875,0.6953125,0.0546875
