row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_stop_2_norm_q2,N_stop_3_norm_q3,N_stop_4_norm_q4,N_stop_5_norm_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_stop_5_norm,log1p_H_stop_5_norm,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_002_q02,code_n24_k12_cw3_002,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,3,0,2,8,68,12926,exact,4,0,0,6,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.0,0.05399999999999999,0.0648,0.16523999999999997,0.0,2.6679841897233196e-05,6.0982495765104455e-06,3.887634105025409e-06,0.0,0.0,0.0486,0.28403999999999996,0.25001135743051084,3.666572557876905e-05,3.6665053407483326e-05,0.0486,0.04745594115629535
code_n24_k12_cw3_002_q03,code_n24_k12_cw3_002,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,3,0,2,8,68,12926,exact,4,0,0,6,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.0,0.09331199999999999,0.13436927999999998,0.41116999679999994,0.0,4.6102766798418964e-05,1.2645330321852058e-05,9.673677696216826e-06,0.0,0.0,0.10077695999999998,0.6388512767999999,0.4939955554371073,6.842177481648784e-05,6.841943415362091e-05,0.10077695999999998,0.09601625774534364
code_n24_k12_cw3_003_q00,code_n24_k12_cw3_003,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.333333333333333,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,2,2,3,16,109,12926,exact,2,2,44,469,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0648,0.017495999999999998,0.016796159999999997,0.0205962912,0.00023478260869565215,8.644268774703556e-06,1.5806662902315073e-06,4.845730095990965e-07,0.0648,0.256608,0.4923374399999999,0.11968845119999999,0.11305047803952134,0.00024549211677018633,0.0002454619885112207,0.8137454399999999,0.5953940110849126
code_n24_k12_cw3_003_q01,code_n24_k12_cw3_003,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.333333333333333,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,2,2,3,16,109,12926,exact,2,2,44,469,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.1152,0.041471999999999995,0.05308415999999999,0.08679260159999999,0.0004173913043478261,2.0490118577075095e-05,4.9956860530773566e-06,2.0419866741953692e-06,0.1152,0.6082559999999999,1.5560294399999997,0.2965487616,0.2597059354705941,0.0004449190956521739,0.0004448201484992332,2.2794854399999993,1.1876865320406234
code_n24_k12_cw3_003_q02,code_n24_k12_cw3_003,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.333333333333333,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,2,2,3,16,109,12926,exact,2,2,44,469,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.18,0.08099999999999999,0.1296,0.26486999999999994,0.0006521739130434782,4.001976284584979e-05,1.2196499153020891e-05,6.2316487859966105e-06,0.18,1.1879999999999997,3.7988999999999997,0.65547,0.5040849564274988,0.0007106218238283455,0.0007103694516937819,5.166899999999999,1.8191962805381743
code_n24_k12_cw3_003_q03,code_n24_k12_cw3_003,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.333333333333333,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,2,2,3,16,109,12926,exact,2,2,44,469,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.2592,0.13996799999999998,0.26873855999999996,0.6590813184,0.0009391304347826086,6.915415019762845e-05,2.5290660643704117e-05,1.5506336307171087e-05,0.2592,2.052864,7.8773990399999985,1.3269878783999998,0.8445746751961445,0.0010490815819311123,0.0010485316804091074,10.189463039999998,2.4149725354709637
code_n24_k12_cw3_004_q00,code_n24_k12_cw3_004,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.333333333333333,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,1,0,9,0,55430,exact_all,2,3,3,19,102,12926,exact,2,3,66,694,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0972,0.017495999999999998,0.01994544,0.019273593599999996,0.00035217391304347823,8.644268774703556e-06,1.877041219649915e-06,4.5345364201016366e-07,0.0972,0.384912,0.7285334399999999,0.1539150336,0.14316053764561743,0.00036314867667984187,0.0003630827541584561,1.21064544,0.7932845271887491
code_n24_k12_cw3_004_q01,code_n24_k12_cw3_004,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.333333333333333,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,1,0,9,0,55430,exact_all,2,3,3,19,102,12926,exact,2,3,66,694,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.1728,0.041471999999999995,0.06303743999999999,0.08121876479999998,0.0006260869565217391,2.0490118577075095e-05,5.932377188029361e-06,1.9108499153020887e-06,0.1728,0.9123839999999999,2.3025254399999997,0.3585282048,0.30640191139123185,0.0006544203022021456,0.0006542062626123231,3.3877094399999996,1.4788073232652117
code_n24_k12_cw3_004_q02,code_n24_k12_cw3_004,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.333333333333333,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,1,0,9,0,55430,exact_all,2,3,3,19,102,12926,exact,2,3,66,694,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.27,0.08099999999999999,0.15389999999999998,0.24785999999999994,0.0009782608695652173,4.001976284584979e-05,1.4483342744212308e-05,5.831451157538112e-06,0.27,1.7819999999999998,5.6213999999999995,0.7527599999999999,0.5611916884088757,0.0010385954263128175,0.0010380564592299228,7.673399999999999,2.16026087078179
code_n24_k12_cw3_004_q03,code_n24_k12_cw3_004,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.333333333333333,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,1,0,9,0,55430,exact_all,2,3,3,19,102,12926,exact,2,3,66,694,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.3888,0.13996799999999998,0.31912704,0.6167549951999999,0.001408695652173913,6.915415019762845e-05,3.003265951439864e-05,1.4510516544325237e-05,0.3888,3.079296,11.656535039999998,1.4646500351999996,0.9020498238657592,0.0015223929784302652,0.0015212353130387138,15.124631039999997,2.7803479811797462
code_n24_k12_cw3_005_q00,code_n24_k12_cw3_005,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,6.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,3,24,1,0,8,0,55430,exact_all,2,1,3,23,160,12926,exact,2,1,22,241,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.017495999999999998,0.024144479999999996,0.030233087999999995,0.00011739130434782608,8.644268774703556e-06,2.272207792207792e-06,7.112998306041783e-07,0.0324,0.128304,0.25299215999999997,0.10427356799999998,0.099187714259722,0.00012901908074534158,0.0001290107584995547,0.41369616,0.346207664610723
code_n24_k12_cw3_005_q01,code_n24_k12_cw3_005,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,6.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,3,24,1,0,8,0,55430,exact_all,2,1,3,23,160,12926,exact,2,1,22,241,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.041471999999999995,0.07630847999999998,0.12740198399999997,0.00020869565217391305,2.0490118577075095e-05,7.1812987012987e-06,2.997411631846414e-06,0.0576,0.30412799999999995,0.7995801599999999,0.302782464,0.26450233408986734,0.00023936448108413327,0.00023933583797740136,1.16130816,0.7707136680060912
code_n24_k12_cw3_005_q02,code_n24_k12_cw3_005,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,6.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,3,24,1,0,8,0,55430,exact_all,2,1,3,23,160,12926,exact,2,1,22,241,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.08099999999999999,0.1863,0.3887999999999999,0.0003260869565217391,4.001976284584979e-05,1.753246753246753e-05,9.147374364765667e-06,0.09,0.5939999999999999,1.9521,0.7460999999999999,0.5573847295459446,0.0003927865612648221,0.0003927094408173897,2.6361,1.2909116786873136
code_n24_k12_cw3_005_q03,code_n24_k12_cw3_005,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,6.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,3,24,1,0,8,0,55430,exact_all,2,1,3,23,160,12926,exact,2,1,22,241,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.13996799999999998,0.38631167999999994,0.9674588159999998,0.0004695652173913043,6.915415019762845e-05,3.635532467532467e-05,2.2761594579333706e-05,0.1296,1.026432,4.0478745599999995,1.6233384959999997,0.9644477417389352,0.0005978362868435911,0.0005976576539226066,5.203906559999999,1.8251791839500646
code_n24_k12_cw3_006_q00,code_n24_k12_cw3_006,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.5,1.0,10.0,3.0,0.0,3.0,3.0,1,0,0,0,0,24,1,0,10,0,55430,exact_all,2,2,4,21,94,12926,exact,2,2,44,473,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0648,0.023327999999999998,0.022044959999999995,0.017761939199999997,0.00023478260869565215,1.1525691699604741e-05,2.0746245059288532e-06,4.1788865047995477e-07,0.0648,0.256608,0.49653647999999995,0.12793489919999998,0.12038843793520314,0.00024880081355166574,0.0002487698677620391,0.81794448,0.5977064562350553
