row_id,graph_id,q_id,split,sample_index,sample_seed,failed_edge_indices,disconnected
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,24,3036571385,"[3, 4, 8, 9, 10, 14, 15, 16, 18, 19]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,25,3037571388,"[8, 10, 12, 15]",1
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,26,3038571391,"[4, 5, 16, 18, 21, 23]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,27,3039571394,"[1, 6, 10, 11, 12, 13]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,28,3040571397,"[1, 4, 5, 6, 9, 11, 12, 13, 16, 19, 21, 22, 23]",1
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,29,3041571400,"[0, 2, 8, 10, 15, 19, 21]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,30,3042571403,"[4, 6, 11, 16, 20, 23]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,31,3043571406,"[0, 1, 3, 8, 11, 15, 16, 17, 23]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,0,744260218,"[1, 4]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,1,745260221,[2],0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,2,746260224,"[4, 15, 19, 22, 23]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,3,747260227,"[1, 10, 15]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,4,748260230,"[1, 6, 8, 11, 13]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,5,749260233,"[3, 7, 10, 18]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,6,750260236,[16],0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,7,751260239,"[3, 4, 10]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,8,752260242,"[11, 12]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,9,753260245,"[15, 17]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,10,754260248,"[5, 10, 18, 22]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,11,755260251,"[6, 8, 9, 12, 15, 20]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,12,756260254,"[0, 2, 5, 10]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,13,757260257,"[8, 11, 19]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,14,758260260,[9],0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,15,759260263,[],0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,16,760260266,[10],0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,17,761260269,[4],0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,18,762260272,"[8, 15]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,19,763260275,"[17, 22]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,20,764260278,"[12, 14]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,21,765260281,"[4, 6, 14]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,22,766260284,"[4, 7, 13, 14, 18]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,23,767260287,"[4, 7, 10, 14, 17, 21]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,24,768260290,"[2, 3]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,25,769260293,"[1, 2, 16, 18, 23]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,26,770260296,[12],0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,27,771260299,"[6, 8, 10]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,28,772260302,"[0, 9, 12, 15]",0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,29,773260305,[19],0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,30,774260308,[13],0
g_n12_m24_k2_001_q00,g_n12_m24_k2_001,q00,train,31,775260311,"[7, 11, 17, 22]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,0,22880259,"[6, 11, 12, 14, 15, 16, 19, 20, 23]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,1,23880262,"[0, 3, 6, 10, 15, 17, 20]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,2,24880265,"[2, 6, 7, 8, 22]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,3,25880268,"[4, 9, 10, 14, 22]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,4,26880271,"[0, 4, 6, 9]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,5,27880274,"[6, 7, 14, 19, 23]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,6,28880277,"[1, 6, 12, 16, 19, 20, 22]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,7,29880280,"[0, 4, 10, 22]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,8,30880283,"[1, 7, 10, 12, 15, 18, 23]",1
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,9,31880286,"[2, 4, 8, 9, 22, 23]",0
