key_name,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
strict,all,51,"('24', '68', '2', '0', '3', '4')",4,1,33.56624917846304,34.08291240647268,0.5166632280096408,0.03125,0.015625,0.015625
strict,all,52,"('24', '68', '2', '0', '3', '5')",12,4,33.02531463002186,33.88771697798733,0.862402347965471,0.02734375,0.0234375,0.00390625
strict,all,55,"('24', '68', '3', '0', '3', '4')",8,2,33.73766768208277,34.255750018079915,0.5180823359971427,0.0078125,0.0,0.0078125
strict,all,56,"('24', '68', '3', '0', '3', '5')",7,2,33.659455706048135,34.26930587936193,0.6098501733137951,0.0078125,0.015625,-0.0078125
strict,all,60,"('24', '72', '2', '0', '2', '5')",8,2,34.34613384369971,35.02206760138962,0.6759337576899114,0.078125,0.03125,0.046875
strict,all,62,"('24', '72', '2', '0', '3', '5')",9,3,34.39467237753628,35.41687342311497,1.02220104557869,0.03125,0.020833333333333332,0.010416666666666668
strict,all,66,"('24', '72', '3', '0', '3', '4')",12,4,34.9507134250537,35.785696427589826,0.8349830025361271,0.015625,0.0,0.015625
strict,all,67,"('24', '72', '3', '0', '3', '5')",8,2,34.92247482370672,35.47031069521852,0.5478358715118006,0.03125,0.0078125,0.0234375
strict,all,71,"('32', '57', '1', '1', '1', '6')",5,1,27.666808908547143,29.290348871869533,1.62353996332239,0.390625,0.296875,0.09375
strict,all,72,"('32', '57', '1', '1', '1', '7')",7,2,27.86391816299923,29.532374780499303,1.6684566175000732,0.375,0.2265625,0.1484375
strict,all,86,"('32', '57', '2', '0', '2', '6')",5,1,29.227497476240377,30.06069304051775,0.833195564277375,0.21875,0.078125,0.140625
strict,all,87,"('32', '57', '2', '0', '2', '7')",18,6,28.364130909431438,29.654332336719044,1.290201427287606,0.18229166666666666,0.14322916666666666,0.0390625
strict,all,93,"('32', '60', '1', '2', '1', '7')",4,1,29.061882439664384,29.755307610280422,0.6934251706160381,0.4375,0.34375,0.09375
strict,all,98,"('32', '60', '2', '0', '2', '6')",19,6,30.27102089724665,32.40018442485557,2.1291635276089167,0.08854166666666667,0.09895833333333333,-0.010416666666666657
strict,all,99,"('32', '60', '2', '0', '2', '7')",17,5,30.084083439907225,31.812948681919377,1.7288652420121515,0.16875,0.115625,0.053125000000000006
strict,all,100,"('32', '60', '2', '0', '2', '8')",5,1,30.02061036936855,30.73256729811444,0.711956928745888,0.171875,0.109375,0.0625
strict,all,103,"('32', '64', '2', '0', '2', '6')",10,3,32.188301223285045,33.552173562129674,1.3638723388446294,0.16145833333333334,0.11458333333333333,0.046875000000000014
strict,all,104,"('32', '64', '2', '0', '2', '7')",15,5,31.593136754828492,33.5284868470406,1.9353500922121043,0.20625,0.14375,0.0625
strict,all,105,"('32', '64', '2', '0', '2', '8')",4,1,31.975174203967743,33.37078460408657,1.39561040011883,0.1875,0.078125,0.109375
strict,all,106,"('32', '64', '3', '0', '3', '5')",5,1,33.76495080463292,34.655639999640506,0.8906891950075888,0.0625,0.03125,0.03125
strict,all,107,"('32', '64', '3', '0', '3', '6')",21,7,33.801534007492904,34.69837576148775,0.896841753994849,0.046875,0.04017857142857143,0.0066964285714285685
strict,all,108,"('32', '64', '3', '0', '3', '7')",4,1,33.67767374098527,34.63652399645558,0.9588502554703098,0.078125,0.03125,0.046875
strict,all,115,"('32', '86', '2', '0', '2', '5')",16,5,42.394786694233666,44.31433970395305,1.9195530097193867,0.078125,0.03125,0.046875
strict,all,116,"('32', '86', '2', '0', '2', '6')",17,5,42.33362524801607,43.99960191836874,1.66597667035267,0.08125,0.040625,0.040625
