row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_019_q01,code_n24_k12_cw3_019,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,2.6666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,1,0,10,0,55430,exact_all,2,1,0,13,61,12926,exact,2,1,22,237,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.0,0.043130879999999996,0.04857200639999999,0.0576,0.30412799999999995,0.7863091199999999,0.1493028864,0.13915557283116942,1.1480371199999997,0.7645544576891063
code_n24_k12_cw3_019_q02,code_n24_k12_cw3_019,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,2.6666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,1,0,10,0,55430,exact_all,2,1,0,13,61,12926,exact,2,1,22,237,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.0,0.10529999999999999,0.14822999999999997,0.09,0.5939999999999999,1.9197,0.34352999999999995,0.2953004785598688,2.6037,1.2819610954378728
code_n24_k12_cw3_019_q03,code_n24_k12_cw3_019,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,2.6666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,1,0,10,0,55430,exact_all,2,1,0,13,61,12926,exact,2,1,22,237,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.0,0.21835007999999997,0.3688436735999999,0.1296,1.026432,3.980689919999999,0.7167937535999999,0.5404584544906602,5.136721919999999,1.814290710338624
code_n24_k12_cw3_020_q00,code_n24_k12_cw3_020,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,7.166666666666667,2.0,13.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,3,0,8,0,55430,exact_all,2,1,3,16,96,12926,exact,2,1,22,238,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.017495999999999998,0.016796159999999997,0.018139852799999998,0.0324,0.128304,0.24984287999999996,0.0848320128,0.08142514809305679,0.41054687999999995,0.343977487348574
code_n24_k12_cw3_020_q01,code_n24_k12_cw3_020,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,7.166666666666667,2.0,13.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,3,0,8,0,55430,exact_all,2,1,3,16,96,12926,exact,2,1,22,238,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.041471999999999995,0.05308415999999999,0.07644119039999998,0.0576,0.30412799999999995,0.7896268799999999,0.22859735039999995,0.2058731531443552,1.15135488,0.7660978204057728
code_n24_k12_cw3_020_q02,code_n24_k12_cw3_020,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,7.166666666666667,2.0,13.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,3,0,8,0,55430,exact_all,2,1,3,16,96,12926,exact,2,1,22,238,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.08099999999999999,0.1296,0.23327999999999993,0.09,0.5939999999999999,1.9278,0.5338799999999999,0.4278004730272963,2.6117999999999997,1.2842062630361057
code_n24_k12_cw3_020_q03,code_n24_k12_cw3_020,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,7.166666666666667,2.0,13.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,3,0,8,0,55430,exact_all,2,1,3,16,96,12926,exact,2,1,22,238,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.13996799999999998,0.26873855999999996,0.5804752895999999,0.1296,1.026432,3.9974860799999994,1.1187818496,0.750841324293227,5.15351808,1.8170239637912096
code_n24_k12_cw3_021_q00,code_n24_k12_cw3_021,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.333333333333333,4.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,0,24,4,0,8,0,55430,exact_all,3,0,3,14,92,12926,exact,4,0,0,6,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.017495999999999998,0.014696639999999997,0.0173840256,0.0,0.0,0.006298559999999999,0.04957666559999999,0.04838690725324239,0.006298559999999999,0.006278806971330837
code_n24_k12_cw3_021_q01,code_n24_k12_cw3_021,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.333333333333333,4.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,0,24,4,0,8,0,55430,exact_all,3,0,3,14,92,12926,exact,4,0,0,6,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.041471999999999995,0.04644863999999999,0.0732561408,0.0,0.0,0.019906559999999997,0.16117678079999997,0.14943395710207258,0.019906559999999997,0.019711015256787718
code_n24_k12_cw3_021_q02,code_n24_k12_cw3_021,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.333333333333333,4.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,0,24,4,0,8,0,55430,exact_all,3,0,3,14,92,12926,exact,4,0,0,6,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.0,0.08099999999999999,0.1134,0.22355999999999995,0.0,0.0,0.0486,0.41795999999999994,0.34921921896735075,0.0486,0.04745594115629535
